Category,Metric,Description
Vessel Size Category,Suezmax (~150k dwt),Largest vessel size capable of transiting the Suez Canal【164142669682782†L72-L77】.
Vessel Size Category,VLCC (150k-320k dwt),Very Large Crude Carriers【164142669682782†L78-L83】.
Vessel Size Category,ULCC (320k-550k dwt),Ultra Large Crude Carriers【164142669682782†L83-L87】.
Shipping Indices,BDI Subindices,"BCI (Capesize), BPI (Panamax), BSI (Supramax), BHSI (Handysize) – the components of BDI【829901645567653†L140-L176】."
Shipping Indices,FFA Curve,Forward Freight Agreement price curves for dry bulk and tanker routes.
Shipping Indices,Port Throughput Index,Composite index measuring global port throughput.
Commodities & Energy,Brent Crude Price,Benchmark price for North Sea crude oil.
Commodities & Energy,WTI Crude Price,Benchmark price for U.S. West Texas Intermediate crude.
Commodities & Energy,Natural Gas Price,"Prices at hubs (TTF, Henry Hub, JKM) used for LNG shipping."
Commodities & Energy,Iron Ore Price,Price of 62% Fe iron ore cargoes.
Commodities & Energy,Coal Price,Thermal and metallurgical coal prices.
Commodities & Energy,Grain Prices,"Prices for wheat, corn, soybeans."
Commodities & Energy,Bunker Fuel VLSFO,Price of Very Low Sulfur Fuel Oil (0.5% sulfur) used in marine engines【356556643307154†L32-L58】.
Commodities & Energy,Bunker Fuel MGO,Price of Marine Gas Oil or LSMGO (0.1% sulfur)【356556643307154†L68-L76】.
Macro & Risk,Global GDP Growth,Annual growth rate of global gross domestic product.
Macro & Risk,Manufacturing PMI,Purchasing Managers’ Index for global manufacturing.
Macro & Risk,Interest Rates,Key central bank policy rates.
Macro & Risk,Exchange Rates,"Currency exchange rates (USD/EUR, USD/CNY, etc.)."
Macro & Risk,Inflation,Consumer price indices for major economies.
Regulatory & Environmental,IMO 2020 Sulfur Cap,Regulation limiting sulfur content in marine fuels to 0.5%.
Regulatory & Environmental,EEXI,Energy Efficiency Existing Ship Index compliance data.
Regulatory & Environmental,CII,Carbon Intensity Indicator scores for ships.
Regulatory & Environmental,Carbon Price,"Cost of carbon allowances (e.g., EU ETS price)."
Port & Harbour Data,Port Throughput,Total cargo or TEU volumes handled by a specific port.
Port & Harbour Data,Vessel Waiting Time,Average waiting time at major ports.
Port & Harbour Data,Port Fees,"Tariffs and charges for port services (pilotage, towage, mooring)."
Vessel & Market Assets,Newbuild Price,Price for building a new vessel by type and size.
Vessel & Market Assets,Secondhand Price,Market price for buying a secondhand vessel.
Vessel & Market Assets,Scrap Value,Scrap value per light displacement tonne (LDT).
Vessel & Market Assets,Average Vessel Age,Mean age of vessels in a given fleet segment.
Vessel & Market Assets,Operating Expenses,Average OPEX per day by vessel type.
